names,Price,Area,Unit Type,Starting Price,Maximum Price,lat,lon,geometry
Casagrand Lorenza bangalore,40.39 L -64.15 L,1010-1147 sq.ft,2 BHK Apartment,40.39 L ,64.15 L,13.099928,77.6331637,POINT (77.6331637 13.099928)
Casagrand Royce bangalore,28.50 L -37.62 L,600-686 sq.ft,1 BHK Apartment,28.50 L ,37.62 L,13.0095427,77.7301136,POINT (77.7301136 13.0095427)
Cattleya Sriven Nest bangalore,46 L -60 L,1120-1215 sq.ft,2 BHK Apartment,46 L ,60 L,12.9372072,77.7491799,POINT (77.7491799 12.9372072)
Celebrity Serenity bangalore,73.73 L -96.50 L,1741-2074 sq.ft,3 BHK Villa,73.73 L ,96.50 L,12.795757,77.650302,POINT (77.650302 12.795757)
Century Artizan Phase II bangalore,99 L -1.18 Cr,1770 sq.ft,3 BHK Apartment,99 L ,1.18 Cr,13.129355,77.595041,POINT (77.59504099999999 13.129355)
Century Central bangalore,63.82 L -78.10 L,1010-1265 sq.ft,2 BHK Apartment,63.82 L ,78.10 L,12.8917718,77.565457,POINT (77.56545699999999 12.8917718)
Century Ethos bangalore,25.44 L,510 sq.ft,0.5 BHK Apartment,25.44 L,0,13.0616882,77.5950079,POINT (77.5950079 13.0616882)
Century Infiniti bangalore,56.90 L -90 L,1198-1298 sq.ft,2 BHK Apartment,56.90 L ,90 L,12.8975268,77.6772502,POINT (77.6772502 12.8975268)
Century Linea bangalore,34.50 L,600 sq.ft,1 BHK Apartment,34.50 L,0,13.0698545,77.6037801,POINT (77.60378009999999 13.0698545)
Century Saras bangalore,52.37 L -75 L,1058-1258 sq.ft,2 BHK Apartment,52.37 L ,75 L,13.1128005,77.57010129999999,POINT (77.57010129999999 13.1128005)
Chamundi Amber Woods bangalore,73.75 L -90.99 L,1639-2022 sq.ft,3 BHK Apartment,73.75 L ,90.99 L,12.8763746,77.53045089999999,POINT (77.53045089999999 12.8763746)
Chethana Heritage bangalore,60.10 L -74 L,1113-1257 sq.ft,2 BHK Apartment,60.10 L ,74 L,12.9715987,77.5945627,POINT (77.5945627 12.9715987)
Chowriappa Constellation bangalore,87.50 L -91.25 L,1414 sq.ft,2 BHK Apartment,87.50 L ,91.25 L,13.0547139,77.6465134,POINT (77.6465134 13.0547139)
Citrus Aries Lakeview bangalore,57.96 L -58.65 L,1260-1275 sq.ft,2 BHK Apartment,57.96 L ,58.65 L,13.077676,77.6104505,POINT (77.6104505 13.077676)
Citrus Florence bangalore,57.98 L -70.68 L,1160-1414 sq.ft,2 BHK Apartment,57.98 L ,70.68 L,12.9715987,77.5945627,POINT (77.5945627 12.9715987)
Citrus Zen Garden bangalore,51.17 L -60.90 L,1168-1219 sq.ft,2 BHK Apartment,51.17 L ,60.90 L,13.0683918,77.60496169999999,POINT (77.60496169999999 13.0683918)
